#{"t_start": 1764624546.179369, "env_id": "None"}
r,l,t
831.5,194,25.380593
674.7,184,25.409755
909.6,196,25.440861
1150.9,210,25.47499
874.4,213,25.509581
665.3,207,25.543406
901.0,211,25.577814
486.3,174,25.606344
891.8,227,25.643398
573.8,217,25.678537
863.1,178,26.028496
573.4,205,26.06191
1101.6,223,26.098228
1376.6,227,26.135152
1043.2,215,26.169915
1375.8,212,26.203835
1298.3,227,26.241023
1386.4,226,26.278244
570.2,185,26.307992
654.5,194,26.339588
993.3,229,26.695324
1384.0,208,26.728966
892.2,206,26.762174
969.7,220,26.797704
991.1,240,26.836479
1146.1,237,26.875333
1055.0,209,26.909151
888.8,242,26.948129
653.7,225,26.984687
914.4,214,27.339528
1218.8,197,27.371548
898.0,214,27.406178
799.9,229,27.443222
894.2,219,27.478515
1229.6,228,27.515282
1612.1,221,27.551775
1194.0,310,27.603155
753.4,220,27.63902
877.8,245,27.996458
737.0,233,28.034443
1296.7,204,28.067411
1348.9,171,28.094673
1378.6,207,28.127755
1927.6,214,28.162823
897.6,220,28.198742
1454.7,196,28.230558
803.5,257,28.272498
730.0,189,28.302829
1526.0,229,28.656737
733.0,222,28.69235
1212.6,253,28.73297
730.6,218,28.768369
896.8,217,28.803921
665.1,220,28.840477
970.7,215,28.875442
668.3,239,28.914596
823.1,279,29.278968
1376.0,211,29.312783
758.6,221,29.34896
817.7,210,29.383369
654.7,199,29.416122
981.3,182,29.445822
1126.1,249,29.486924
718.6,307,29.538156
1142.9,214,29.573043
757.8,189,29.603701
1071.6,213,29.955087
812.3,218,29.990302
994.9,247,30.030247
1297.9,185,30.060049
939.0,233,30.097617
1389.4,277,30.14253
751.8,198,30.174518
1794.3,261,30.216817
1214.0,262,30.259192
1059.8,175,30.605645
801.7,216,30.640679
1147.7,238,30.679827
1285.5,229,30.717298
1534.8,203,30.750528
1284.1,261,30.793707
897.8,198,30.826048
1297.1,229,30.86374
893.4,215,30.898706
1236.8,229,31.257109
1210.0,249,31.297616
928.6,200,31.32985
1464.5,180,31.359254
646.1,212,31.394547
1134.5,236,31.433631
912.8,254,31.475619
1234.4,225,31.512291
1412.4,281,31.558049
1230.4,219,31.910526
500.5,225,31.946964
826.7,274,31.991742
741.4,219,32.027835
802.5,252,32.068961
1380.6,214,32.10391
596.6,244,32.14383
1042.6,215,32.178713
740.4,184,32.208453
1200.4,298,32.575424
1071.8,237,32.613736
989.3,207,32.646828
1134.5,226,32.683645
992.7,246,32.723964
